,open,high,low,close,capacity
0,26.25,26.95,26.2,26.4,1940938
1,26.55,26.95,26.15,26.8,1913214
2,26.95,27.2,26.65,26.9,1985198
3,26.7,26.75,26.25,26.4,1989527
4,26.35,27.05,26.35,26.5,2053366
5,26.5,26.7,26.15,26.25,1438160
6,26.5,26.5,25.5,25.6,3294898
7,25.7,25.95,25.5,25.7,1559284
8,25.9,26.4,25.9,26.25,1817397
9,26.6,26.7,26.15,26.2,1772870
10,26.5,27.15,26.45,26.6,2841223
11,26.6,26.65,26.25,26.4,1341501
12,26.5,27.0,26.45,26.6,1553021
13,26.95,28.2,26.6,26.8,23980756
14,26.6,27.35,26.15,27.15,5915317
15,26.75,27.5,26.3,27.5,10990754
16,27.5,28.65,27.35,28.1,81790908
17,28.55,28.75,27.75,28.0,9500708
18,28.1,28.65,27.8,28.55,7929177
19,28.7,29.05,28.35,28.4,5293421
20,28.4,29.1,28.4,29.0,4701543
21,29.0,29.3,28.85,29.15,3877365
22,29.1,29.25,28.8,29.2,1981573
23,29.25,29.4,28.95,29.3,2676532
24,29.45,29.8,29.2,29.45,3581252
25,29.5,29.55,28.75,28.8,3343070
26,29.05,29.05,28.55,28.6,3454471
27,28.7,29.3,28.7,28.95,3333851
28,29.05,29.3,29.0,29.0,2031760
29,29.1,29.15,28.75,28.8,2060612
30,28.9,29.25,28.75,28.75,2671824
